EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,TRAPTYPE,SITE,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
12188,55850,21085,GTS,22-Feb-15,,0A140A4D45,,5367,,OLD,847,1065,55,,F,AA,5,V,NWFN,,0.949351394,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12188,55851,21087,GTS,22-Feb-15,,4C3C6B7117,,5272,,OLD,831,1055,53,,F,V,2,V,NWFN,,0.968461874,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12191,55859,21089,ETH,22-Feb-15,,45234E7A38,,4642,,OLD,997,1272,98,,M,W,7,V,NWFN,"HEMIPENES OBSERVED; SPOTTED WHILE SEARCHING THE TRANSECT ""V"".",1.011674384,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12192,55862,21090,TJH,24-Feb-15,,028589281,,9271,,OLD,1128,1302,139,+,M,K,10,V,NWFN,,0.940189271,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12192,55865,21091,TJH,24-Feb-15,,4C3C093B0D,,2331,,OLD,941,1188,67,,M,J,13,V,NWFN,,0.834609581,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12193,55868,21094,ETH,24-Feb-15,,028590633,,2796,,OLD,966,1225,102,,F,U,7,V,NWFN,,1.167717919,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12193,55867,21092,ETH,24-Feb-15,,0A140A4A5A,,9613,,OLD,872,1109,57,,M,R,10,V,NWFN,HEMIPENES OBSERVED,0.900861815,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12193,55867,21093,ETH,24-Feb-15,,4527614054,,4885,,OLD,,,,,,R,6,V,NWFN,GRABBED TAIL BECAUSE SNAKE STARTED TO FLEE WHEN SCANNED INITIALLY,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12193,55870,21095,ETH,24-Feb-15,,485A3A4E62,,8728,,OLD,1410,1705,286,+,M,SWE,3,V,NWFN,HEMIPENES OBSERVED; FOUND ON RIMSKIRT,0.832475122,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12193,55870,21097,ETH,24-Feb-15,,4C3C431B5F,,7426,,NEW,694,872,32,,F,SWE,13,V,NWFN,,0.971126206,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12196,55879,21101,MPH,24-Feb-15,,028553633,,9487,,OLD,914,1155,76,,F,P,4,V,NWFN,,1.03821256,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12196,55876,21098,MPH,24-Feb-15,,0A140A4B12,,4846,,NEW,762,964,42,,M,U,4,V,NWFN,HEMIPENES OBSERVED,0.986378548,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12196,55877,21100,MPH,24-Feb-15,,0A140A4D44,,1896,,OLD,939,1189,86,,F,V,9,V,NWFN,BULGE OF 2 FOR VISIBLE TRANSMITTER; NOT KEPT FOR MEAL STUDY (PERS COMM SRS),1.078594414,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800M],NWFN VISTRAP VIS,,,
12196,55876,21099,MPH,24-Feb-15,,490A761F63,,8661,,OLD,,,,,,U,6,V,NWFN,,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12197,55881,21103,AOK,24-Feb-15,,0A140A496A,,5859,,OLD,905,1156,74,,F,C,6,V,NWFN,,1.042720783,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12197,55881,21102,AOK,24-Feb-15,,4C3D3C193D,,5485,,OLD,795,1007,50,,M,C,8,V,NWFN,,1.040315003,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12200,55891,21111,ETH,26-Feb-15,,057278111,,8443,,OLD,1034,1323,98,,M,D,11,V,NWFN,HEMIPENES OBSERVED,0.895752634,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12200,55891,21112,ETH,26-Feb-15,,0A140A4D3D,,2443,,OLD,791,1006,46,,F,D,2,V,NWFN,,0.971138313,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12205,55913,21113,GTS,26-Feb-15,,028515582,,9141,,OLD,1109,1339,113,+,F,S,8,V,NWFN,,0.811559295,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12205,55915,21114,GTS,26-Feb-15,,028558513,,2438,,OLD,946,1201,79,,M,Z,8,V,NWFN,HEMIPENES OBSERVED,0.967540617,F,4,FOUR SEXINGS AS M [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55919,21117,JMK,26-Feb-15,,0A140A4C24,,1664,,NEW,967,1232,97,,F,S,8,V,NWFN,MESSED UP CLIP. CLEARED AND CLIPPED ABOVE,1.106753736,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55920,21119,JMK,26-Feb-15,,0A140A4C57,,5739,,NEW,819,1045,58,,F,V,8,V,NWFN,,1.106416853,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55920,21118,JMK,26-Feb-15,,0A140A4C7F,,2447,,NEW,990,1265,85,,M,V,1,V,NWFN,SNAKE PROBING TRAP. HEMIPENES OBSERVED,0.89810168,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12206,55918,21116,JMK,26-Feb-15,,4C3C3E7E49,,7582,,NEW,886,1119,56,,M,W,3,V,NWFN,HEMIPENES OBSERVED;  ORIGINAL PITTAG 0A140A4C25 INJECTED 26FEB15 BY JMK; SECONDARY PITTAG 4C3D570A06 INJECTED ON 08MAR15 BY MPH; TERTIARY PITTAG 4C3C3E7E49 INJECTED ON 24MAR15 BY GTS,0.842812122,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4C25 ASSUMED TO BE LOST; SECONDARY PITTAG 4C3D570A06 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 4C3C3E7E49
12210,55936,21123,ETH,01-Mar-15,,0A140A4B28,,3284,,OLD,859,1085,57,,F,J,13,V,NWFN,,0.942990605,M,2,"CONFLICTING SEXINGS, LARGEST M",NWFN VISTRAP VIS,,,
12211,55943,21126,JMK,01-Mar-15,,0A140A4C30,,4936,,NEW,750,955,40,,F,Y,10,V,NWFN,,0.982214147,F,1,SINGLE SEXING AS F <800MM,NWFN VISTRAP VIS,,,
12211,55943,21125,JMK,01-Mar-15,,0A140A4C37,,5943,,NEW,935,1199,82,,M,Y,12,V,NWFN,HEMIPENES OBSERVED; SHEDDING,1.04251845,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12211,55942,21124,JMK,01-Mar-15,,4C3C106832,,9236,,OLD,929,1179,78,,F,NEE,13,V,NWFN,,1.012160924,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12212,55953,21129,MPH,01-Mar-15,,0A140A4A7D,,3894,,NEW,927,1174,79,,F,C,3,V,NWFN,,1.032164815,F,2,SINGLE SEXING AS F> 800MM,NWFN VISTRAP VIS,,,
12212,55953,21128,MPH,01-Mar-15,,0A140A4D1A,,9472,,OLD,718,881,38,+,F,C,4,V,NWFN,,1.052312237,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12216,55963,21131,TJH,01-Mar-15,,0A140A4B35,,5763,,OLD,626,790,21,,M,Q,2,V,NWFN,HEMIS OBS,0.831803766,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12216,55960,21130,TJH,01-Mar-15,,0A140A4D51,,3224,,OLD,906,1158,65,,M,SWE,5,V,NWFN,HEMIS OBS.,0.912748184,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12216,55962,21132,TJH,01-Mar-15,,0A140A4D5B,,2692,,OLD,971,1226,77,,M,R,12,V,NWFN,HEMIS OBS; PITTAG FELL OUT; HAD ORIGINAL CLIPS WHICH LOOKS NEW; INSERTED NEW PITTAG; ORIGINAL PITTAG 4C3B6E3523 INJECTED 19FEB15 BY AOK; SECOND PITTAG INJECTED 0A140A4D5B ON 01MAR15 BY TJH,0.866846632,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 4C3B6E3523 ASSUMED TO BE LOST,1,SECONDARY PITTAG INJECTED: 0A140A4D5B
12219,55970,21133,JMK,03-Mar-15,,0A140A4A52,,3483,,OLD,790,1000,50,,F,K,13,V,NWFN,,1.059442451,F,3,>75% SEXED AS F BUT <1000MM,NWFN VISTRAP VIS,,,
12219,55974,21135,JMK,03-Mar-15,,4906636B5F,,4872,,OLD,1145,1418,145,+,M,X,5,V,NWFN,HEMIPENES OBSERVED,0.929883753,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12219,55970,21134,JMK,03-Mar-15,,4C3C093B0D,,2331,,OLD,941,1197,72,,M,K,13,V,NWFN,HEMIPENES OBSERVED,0.896893878,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12220,55980,21136,GTS,03-Mar-15,,4C3C0B5A33,,2734,,NEW,875,1107,61,,M,Z,1,V,NWFN,HEMIPENES OBSERVED. CLIPPED VENTRAL SCALES NEAR HEAD FOR DNA,0.954003275,M,3,TWO SEXINGS AS M <1000MM,NWFN VISTRAP VIS,,,
12220,55981,21138,GTS,03-Mar-15,,4C3D18720D,,3128,,NEW,851,1073,56,,F,X,11,V,NWFN,TRAP 1 M AWAY. LEVEL WITH TRAP,0.953008136,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
